date,tvl_USD,SOL
4/18/2023,156846118.7,6407112.691
4/19/2023,158778314.6,6423070.979
4/20/2023,147734724.5,6420457.388
4/21/2023,143657030.4,6421860.991
4/22/2023,136084570.6,6425144.974
4/23/2023,138833815.5,6430468.527
4/24/2023,138622287.8,6429605.184
4/25/2023,136636571.9,6436013.749
4/26/2023,137613792.6,6303884.225
4/27/2023,141139260.2,6441773.63
4/28/2023,109113554.8,4873316.425
4/29/2023,113380562.5,4872392.026
4/30/2023,112541215.2,4855099.881
5/1/2023,111332419.9,4880860.146
5/2/2023,107223962,4884918.543
5/3/2023,106519673.8,4828634.352
5/4/2023,108595215.7,4852333.14
5/5/2023,105846794,4855357.523
5/6/2023,112123981.4,4864380.973
5/7/2023,106980551.2,4864963.676
5/8/2023,105934536.3,4872793.76
5/9/2023,100020016.8,4869523.698
5/10/2023,101004123.8,4855967.492
5/11/2023,101417873,4889964.948
5/12/2023,99967046.71,4939083.336
5/13/2023,104345335.7,4990212.133
5/14/2023,103664263.9,4995868.137
5/15/2023,99429422.15,4812653.541
5/16/2023,105024770,4998799.143
5/17/2023,103498015.3,4983053.218
5/18/2023,105261502,5012452.477
5/19/2023,102423932.2,5033117.061
5/20/2023,101928852.1,5040991.695
5/21/2023,102619338,5047680.179
5/22/2023,98509547.07,5054363.626
5/23/2023,98820614.21,5059939.284
5/24/2023,100319263.9,5033580.726
5/25/2023,96773160.95,5064006.329
5/26/2023,98485651.49,5124123.387
5/27/2023,99299411.19,5126453.856
5/28/2023,105542285.3,5101125.436
5/29/2023,106481774.5,5097260.625
5/30/2023,105708107.4,5136448.367
5/31/2023,115496735.3,5422381.94
6/1/2023,112786239.1,5438102.177
6/2/2023,111529255.4,5342496.28
6/3/2023,116578418.5,5401294.852
6/4/2023,116367700.8,5417319.305
6/5/2023,121219538.7,5427496.484
6/6/2023,110235196.2,5432605.051
6/7/2023,116842574.2,5611226.201
6/8/2023,107140347.7,5609133.643
6/9/2023,107598371.9,5609654.472
6/10/2023,103040002.4,5957986.946
6/11/2023,94394210.7,5986144.694
6/12/2023,93819691.58,5960651.809
6/13/2023,94458592.68,6178294.379
6/14/2023,94457592.02,6178294.379
6/15/2023,92995534.23,6268156.026
6/16/2023,93550570.81,6267683.56
6/17/2023,96659467.31,6233186.478
6/18/2023,98837767.69,6259064.883
6/19/2023,95661221.39,6090146.352
6/20/2023,102629866.6,6241010.692
6/21/2023,105833403.6,6212673.087
6/22/2023,111875588.5,6270301.685
6/23/2023,105491216.3,6237592.399
6/24/2023,110957842.3,6289656.567
6/25/2023,106993727.1,6318896.341
6/26/2023,108308102.9,6324829.396
6/27/2023,104143230.9,6291356.373
6/28/2023,104433150.6,6304930.562
6/29/2023,102800717,6358267.927
6/30/2023,118020469.1,6390390.562
7/1/2023,121957156.9,6383085.297
7/2/2023,118020932.4,6173260.607
7/3/2023,125007056.2,6371459.405
7/4/2023,125341629.7,6372333.884
7/5/2023,119491855.1,6129707.621
7/6/2023,124920966.6,6479303.246
7/7/2023,130274776.2,6484558.297
7/8/2023,140429525.4,6498358.417
7/9/2023,142423571.4,6500391.208
7/10/2023,137239269,6498071.45
7/11/2023,138374551.8,6499509.243
7/12/2023,142955599.8,6445247.962
7/13/2023,140903260.6,6463452.322
7/14/2023,190618353.9,6472609.641
7/15/2023,176952995.3,6462855.928
7/16/2023,178040077.5,6469479.56
7/17/2023,179444511.4,6450198.108
7/18/2023,174085620.6,6461975.523
7/19/2023,167193045,6437930.11
7/20/2023,170938566.3,6470044.145
7/21/2023,163416108.1,6482193.897
7/22/2023,167558957.5,6484479.779
7/23/2023,157933713.4,6496656.247
7/24/2023,160355455,6479008.282
7/25/2023,143790779.8,6179234.198
7/26/2023,151234661.8,6499125.991
7/27/2023,160451569,6402696.289
7/28/2023,164378816.3,6497186.415
7/29/2023,162316201.6,6508267.906
7/30/2023,163380785.1,6504012.146
7/31/2023,159416756.3,6509463.302
8/1/2023,155668102.5,6510585.635
8/2/2023,156412688,6511768.859
8/3/2023,150308680.2,6484412.431
8/4/2023,146258820.3,6457343.062
8/5/2023,146571464.7,6468290.587
8/6/2023,146595889.8,6463663.573
8/7/2023,149424316,6479805.549
8/8/2023,150932784.6,6522592.245
8/9/2023,159023042.5,6525360.791
8/10/2023,157546457.1,6483393.296
8/11/2023,160502403.1,6492815.661
8/12/2023,160317339.1,6490580.528
8/13/2023,161449786.7,6494359.884
8/14/2023,157499394.2,6494820.378
8/15/2023,163805855.5,6500232.362
8/16/2023,155504095.5,6503726.288
8/17/2023,149714837.6,6515005.989
8/18/2023,143457829.1,6553578.305
8/19/2023,141554436.6,6571700.864
8/20/2023,144097348.4,6579787.596
8/21/2023,141853263,6570322.51
8/22/2023,139225777.2,6567253.641
8/23/2023,112405578,5472520.837
8/24/2023,118953971.4,5471663.815
8/25/2023,114230977.5,5449951.218
8/26/2023,110584611.5,5452890.113
8/27/2023,109442502.4,5401900.416
8/28/2023,111731947.1,5382078.377
8/29/2023,110691788.6,5383841.857
8/30/2023,117011902,5360142.1
8/31/2023,111695177.7,5364802.001
9/1/2023,105661410.2,5320312.699
9/2/2023,103275443.7,5323476.481
9/3/2023,103673125.5,5319298.382
9/4/2023,104323936.7,5319935.577
9/5/2023,103508940.6,5327274.35
9/6/2023,107761430.5,5329447.6
9/7/2023,103907508.5,5298700.078
